"File_name","Method/API","Enums/Constants/Arrays","Description/Usage","Invoking_Syntax","Parameters","Parameter_Dtypes","Parameter_Description","Return_Dtype","Return_Description"
"lms7_device.h","Synchronize",,"Synchronizes the LMS7 device configuration with the internal chip settings.","Synchronize(bool toChip)","toChip","bool","Flag indicating synchronization direction (to chip or from chip).","int","Returns 0 on success; error code otherwise."
"lms7_device.h","LoadConfig",,"Loads a configuration file into the LMS7 device.","LoadConfig(const char *filename, int ind)","filename, ind","const char*, int","File path to the configuration file and optional device index.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","SaveConfig",,"Saves the current LMS7 device configuration into a file.","SaveConfig(const char *filename, int ind)","filename, ind","const char*, int","File path to save the configuration and optional device index.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","ReadLMSReg",,"Reads a register value from the LMS7 chip.","ReadLMSReg(uint16_t address, int ind)","address, ind","uint16_t, int","Register address and optional chip index.","int","Returns the register value on success; error code otherwise."
"lms7_device.h","WriteLMSReg",,"Writes a value to a register on the LMS7 chip.","WriteLMSReg(uint16_t address, uint16_t val, int ind)","address, val, ind","uint16_t, uint16_t, int","Register address, value to write, and optional chip index.","int","Returns 0 on success; error code otherwise."
"LMS64CCommands.h",,"CMD_GET_INFO","Retrieves information about the LMS device.","Not applicable","None","None","Command enumeration for device info retrieval.","None","Not applicable."
"LMS64CCommands.h",,"CMD_LMS6002_RST","Resets the LMS6002 chip.","Not applicable","None","None","Command enumeration for chip reset.","None","Not applicable."
"LMS64CCommands.h",,"CMD_SI5356_WR, CMD_SI5356_RD","Writes or reads data to/from the SI5356 synthesizer via I2C.","Not applicable","None","None","Command enumeration for SI5356 read/write operations.","None","Not applicable."
"LMS64CCommands.h",,"CMD_LMS7002_WR, CMD_LMS7002_RD","Writes or reads data to/from the LMS7002M chip via SPI.","Not applicable","None","None","Command enumeration for LMS7002M read/write operations.","None","Not applicable."
"LMS64CCommands.h",,"CMD_PROG_MCU","Programs the MCU connected to the LMS device.","Not applicable","None","None","Command enumeration for MCU programming.","None","Not applicable."
"LMS64CCommands.h",,"CMD_GPIO_DIR_WR, CMD_GPIO_DIR_RD, CMD_GPIO_WR, CMD_GPIO_RD","Configures, writes, or reads GPIO pin directions and values.","Not applicable","None","None","Command enumeration for GPIO operations.","None","Not applicable."
"LMS64CCommands.h",,"CMD_MYRIAD_WR, CMD_MYRIAD_RD","Writes or reads data to/from the Myriad FPGA.","Not applicable","None","None","Command enumeration for Myriad FPGA operations.","None","Not applicable."
"LMS64CCommands.h",,"STATUS_COMPLETED_CMD, STATUS_BUSY_CMD, STATUS_ERROR_CMD, etc.","Status codes representing the result of a command operation.","status2string(int status)","status","int","Status code to retrieve its string representation.","const char*","Returns a string description of the status code (e.g., ""Completed"", ""Busy"")."
"LMS64CProtocol.h","LMS64CProtocol()",,"Constructor to initialize LMS64CProtocol.","LMS64CProtocol()","None","None","No parameters required.","None","Initializes the LMS64CProtocol object."
"LMS64CProtocol.h","~LMS64CProtocol()",,"Destructor to clean up resources associated with LMS64CProtocol.","~LMS64CProtocol()","None","None","No parameters required.","None","Cleans up LMS64CProtocol resources."
"LMS64CProtocol.h","GetDeviceInfo()",,"Retrieves device information such as serial number, firmware version, and hardware specs.","DeviceInfo GetDeviceInfo()","None","None","No parameters required.","DeviceInfo","Returns a DeviceInfo object containing device information."
"LMS64CProtocol.h","DeviceReset(ind)",,"Performs a reset operation on the connected device.","int DeviceReset(int ind = 0)","ind","int","Device index to specify which connected device to reset (optional).","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","TransactSPI(addr, ...)",,"Executes SPI read/write transactions on the LMS64CProtocol device.","int TransactSPI(const int addr, const uint32_t *writeData, uint32_t *readData, const size_t size)","addr, writeData, readData, size","int, uint32_t*, uint32_t*, size_t","SPI address, data to write, data buffer for reading, and transaction size.","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","WriteI2C(addr, data)",,"Writes data to a device via I2C protocol.","int WriteI2C(const int addr, const std::string &data)","addr, data","int, std::string","I2C device address and data to write.","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","ReadI2C(addr, numBytes, data)",,"Reads data from a device via I2C protocol.","int ReadI2C(const int addr, const size_t numBytes, std::string &data)","addr, numBytes, data","int, size_t, std::string &","I2C device address, number of bytes to read, and buffer for storing read data.","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","WriteRegisters(addrs, ...)",,"Writes data to specified registers using BRDSPI protocol.","int WriteRegisters(const uint32_t *addrs, const uint32_t *data, const size_t size)","addrs, data, size","uint32_t*, uint32_t*, size_t","Register addresses, data values, and number of registers to write.","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","ReadRegisters(addrs, ...)",,"Reads data from specified registers using BRDSPI protocol.","int ReadRegisters(const uint32_t *addrs, uint32_t *data, const size_t size)","addrs, data, size","uint32_t*, uint32_t*, size_t","Register addresses, data buffer, and number of registers to read.","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","TransferPacket(pkt)",,"Transfers a packet using the LMS64CProtocol communication layer.","int TransferPacket(GenericPacket &pkt)","pkt","GenericPacket &","A generic packet structure containing input and output buffers.","int","Returns 0 on success; error code otherwise."
"LMS64CProtocol.h","GetInfo()",,"Retrieves detailed information about the LMS64CProtocol instance.","LMSinfo GetInfo()","None","None","No parameters required.","LMSinfo","Returns an LMSinfo structure with hardware, firmware, and protocol details."
"LMS64CProtocol.h","GetFPGAInfo()",,"Retrieves FPGA-specific details, including gateware and hardware versions.","FPGAinfo GetFPGAInfo()","None","None","No parameters required.","FPGAinfo","Returns an FPGAinfo structure with board and gateware details."
"LMS64CProtocol.h","ProgramWrite(buffer, ...)","ProgramWriteTarget (HPM, FX3, ...)","Writes program data to the specified target (e.g., FPGA, FX3).","int ProgramWrite(const char *buffer, size_t length, int programmingMode, int device, ProgrammingCallback callback = nullptr)","buffer, length, programmingMode, device, callback","const char*, size_t, int, int, ProgrammingCallback","Data buffer, buffer length, programming mode, target device, and optional callback.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","SetConnection",,"Sets the connection interface for LMS7002M driver.","SetConnection(IConnection *port, size_t devIndex = 0)","port, devIndex","IConnection *, size_t","Interface connection and RFIC index to configure (default 0).","void","Configures LMS7002M connection."
"LMS7002M.h","GetConnection",,"Retrieves the active interface connection for LMS7002M.","GetConnection()","None","None","No parameters required.","IConnection *","Returns the interface connection object."
"LMS7002M.h","SetActiveChannel","Channel","Sets the selected channel (ChA/ChB/ChAB).","SetActiveChannel(Channel ch)","ch","Channel","Channel enumeration value.","void","Updates the currently active channel."
"LMS7002M.h","GetActiveChannel","Channel","Gets the currently selected channel.","GetActiveChannel(bool fromChip = true)","fromChip","bool","Whether to fetch from the chip or cached value.","Channel","Returns the active channel."
"LMS7002M.h","EnableChannel",,"Enables/disables all hardware components for a selected TX or RX channel.","EnableChannel(bool isTx, bool enable)","isTx, enable","bool, bool","Direction (TX/RX) and enable/disable flag.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","SoftReset",,"Performs a soft reset sequence over SPI for LMS7002M.","SoftReset()","None","None","No parameters required.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","LoadConfig",,"Loads a configuration file into the LMS7002M chip.","LoadConfig(const char *filename)","filename","const char *","File path to configuration.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","Get_SPI_Reg_bits",,"Reads specific bits from an SPI register.","Get_SPI_Reg_bits(uint16_t address, uint8_t msb, uint8_t lsb, bool fromChip = false)","address, msb, lsb, fromChip","uint16_t, uint8_t, uint8_t, bool","SPI register address, bit range, and source flag.","uint16_t","Returns value of bits read."
"LMS7002M.h","CalibrateRx",,"Performs RX calibration with optional external loopback.","CalibrateRx(float_type bandwidth, bool useExtLoopback = false)","bandwidth, useExtLoopback","float_type, bool","RX bandwidth and external loopback flag.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","CalibrateTx",,"Performs TX calibration with optional external loopback.","CalibrateTx(float_type bandwidth, bool useExtLoopback = false)","bandwidth, useExtLoopback","float_type, bool","TX bandwidth and external loopback flag.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","TuneRxFilter",,"Tunes the RX filter to a specified frequency.","TuneRxFilter(float_type rx_lpf_freq_RF)","rx_lpf_freq_RF","float_type","RX low pass filter frequency.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","SetPathRFE","PathRFE","Configures the RFE input path.","SetPathRFE(PathRFE path)","path","PathRFE","RFE path enumeration (e.g., PATH_RFE_LNAL).","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","GetPathRFE","PathRFE","Retrieves the currently set RFE path.","GetPathRFE()","None","None","No parameters required.","PathRFE","Returns the current RFE path."
"LMS7002M.h","SetFrequencyCGEN","CGEN_details","Sets the frequency for the Clock Generator (CGEN).","SetFrequencyCGEN(float_type freq_Hz, bool retainNCOfrequencies = false, CGEN_details *output = nullptr)","freq_Hz, retainNCOfrequencies, output","float_type, bool, CGEN_details *","Clock frequency, NCO retention flag, and output details pointer.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","SetGFIRCoefficients",,"Configures the coefficients for GFIR filters.","SetGFIRCoefficients(bool tx, uint8_t GFIR_index, const int16_t *coef, uint8_t coefCount)","tx, GFIR_index, coef, coefCount","bool, uint8_t, int16_t *, uint8_t","Direction (TX/RX), filter index, coefficients array, and count.","int","Returns 0 on success; error code otherwise."
"LMS7002M.h","SetIQBalance",,"Sets the IQ imbalance correction parameters for TX or RX.","SetIQBalance(bool tx, float_type phase, float_type gainI, float_type gainQ)","tx, phase, gainI, gainQ","bool, float_type, float_type, float_type","Direction (TX/RX), phase offset, and I/Q gain adjustments.","int","Returns 0 on success; error code otherwise."
"LMS7002M_parameters.h","LMS7ParameterCompare","None","Compares two LMS7Parameter structs.","LMS7ParameterCompare(a,b)","a, b","LMS7Parameter","Two LMS7Parameter structs to be compared.","int","Returns a comparison result; implementation not provided in the header file."
"LMS7002M_parameters.h","None","LMS7_LRST_TX_B","Resets all the logic registers to the default state for Tx MIMO channel B.","Not Applicable","None","None","No parameters applicable.","None","None"
"LMS7002M_parameters.h","None","LMS7_MRST_TX_B","Resets all the configuration memory to the default state for Tx MIMO channel B.","Not Applicable","None","None","No parameters applicable.","None","None"
"LMS7002M_parameters.h","None","LMS7_MAC","Selects MIMO channel for communication.","Not Applicable","None","None","No parameters applicable.","None","None"
"LMS7002M_parameters.h","None","LMS7_TXRDCLK_MUX","TX FIFO read clock selection.","Not Applicable","None","None","No parameters applicable.","None","None"
"LMS7002M_RegistersMap.h","GetValue","None","Retrieves the value at a specified address on a specified channel.","GetValue(channel, address)","channel, address","uint8_t, uint16_t","Channel ID and address to read value from.","uint16_t","Returns the register value."
"LMS7002M_RegistersMap.h","SetValue","None","Sets the value at a specified address on a specified channel.","SetValue(channel, address, value)","channel, address, value","uint8_t, uint16_t, uint16_t","Channel ID, address, and new value for the register.","void","No return value."
"LMS7002M_RegistersMap.h","InitializeDefaultValues","None","Initializes the registers to their default values using a parameter list.","InitializeDefaultValues(parameterList)","parameterList","std::vector<const LMS7Parameter*>","A list of LMS7Parameter structs.","void","No return value."
"LMS7002M_RegistersMap.h","GetDefaultValue","None","Retrieves the default value of a register at a given address.","GetDefaultValue(address)","address","uint16_t","Address to retrieve the default value from.","uint16_t","Returns the default value of the register."
"LMS7002M_RegistersMap.h","GetUsedAddresses","None","Provides a list of used register addresses for a specific channel.","GetUsedAddresses(channel)","channel","uint8_t","Channel ID to retrieve used addresses.","std::vector<uint16_t>","Returns a vector of used register addresses."
"LMS7002M_RegistersMap.h","Operator=","None","Assigns the contents of another LMS7002M_RegistersMap to the current instance.","operator=(other)","other","LMS7002M_RegistersMap","Another LMS7002M_RegistersMap instance.","LMS7002M_RegistersMap&","Returns a reference to the current object."
"LMS7002M_RegistersMap.h","mChannelA, mChannelB","std::map<const uint16_t, Register>","Represents register mappings for channels A and B.","Not applicable","None","None","Internal member variables for channel data.","None","None"
"LMSBoards.h","GetDeviceName","eLMS_DEV, LMS_DEV_NAMES","Retrieves the name of a given LMS device.","GetDeviceName(device)","device","eLMS_DEV","An enumerated LMS device type.","const char*","Returns a constant string containing the device name."
"LMSBoards.h","GetExpansionBoardName","eEXP_BOARD, EXP_BOARD_NAMES","Retrieves the name of a given expansion board.","GetExpansionBoardName(board)","board","eEXP_BOARD","An enumerated expansion board type.","const char*","Returns a constant string containing the expansion board name."
"LMSBoards.h","None","LMS_DEV_*","Enumerations representing different LMS hardware devices.","Not Applicable","None","None","No parameters.","None","None"
"LMSBoards.h","None","EXP_BOARD_*","Enumerations representing different expansion boards.","Not Applicable","None","None","No parameters.","None","None"
"Logger.h","lime::critical","LOG_LEVEL_CRITICAL","Log a critical error message.","lime::critical(const char *format, ...)","format, ...","const char*, variadic args","format: printf-style format string; variadic args: additional arguments for formatting.","void","No return value."
"Logger.h","lime::error","LOG_LEVEL_ERROR","Log an error message and return -1.","lime::error(const char *format, ...)","format, ...","const char*, variadic args","format: printf-style format string; variadic args: additional arguments for formatting.","int","Returns -1, indicating an error occurred."
"Logger.h","lime::warning","LOG_LEVEL_WARNING","Log a warning message.","lime::warning(const char *format, ...)","format, ...","const char*, variadic args","format: printf-style format string; variadic args: additional arguments for formatting.","void","No return value."
"Logger.h","lime::info","LOG_LEVEL_INFO","Log an informational message.","lime::info(const char *format, ...)","format, ...","const char*, variadic args","format: printf-style format string; variadic args: additional arguments for formatting.","void","No return value."
"Logger.h","lime::debug","LOG_LEVEL_DEBUG","Log a debugging message.","lime::debug(const char *format, ...)","format, ...","const char*, variadic args","format: printf-style format string; variadic args: additional arguments for formatting.","void","No return value."
"Logger.h","lime::log","N/A","Log a message with the specified logging level.","lime::log(LogLevel level, const char *format, ...)","level, format, ...","LogLevel, const char*, variadic args","level: logging level; format: printf-style format string; variadic args: additional arguments.","void","No return value."
"Logger.h","lime::registerLogHandler","N/A","Register a new system log handler to replace the default stdio handler.","lime::registerLogHandler(LogHandler handler)","handler","LogHandler","handler: function pointer for the log handler.","void","No return value."
"Logger.h","lime::logLevelToName","N/A","Convert a log level to a string name for printing.","lime::logLevelToName(LogLevel level)","level","LogLevel","level: logging level to be converted to string name.","const char*","Returns a string representing the log level."
"Logger.h","lime::GetLastErrorMessage","N/A","Retrieve the last error message reported.","lime::GetLastErrorMessage()","None","None","No parameters.","const char*","Returns a string containing the last error message."
"Logger.h","lime::ReportError","N/A","Report an error code and/or formatted message string.","lime::ReportError(int errnum, const char *format, ...)","errnum, format, ...","int, const char*, variadic args","errnum: recognized error code; format: printf-style format string; variadic args: additional arguments.","int","Returns a non-zero status code indicating an error."
"MCU_BD.h","GetProgressInfo","ProgressInfo","Retrieves progress information of the current operation.","GetProgressInfo()","None","None","No parameters.","ProgressInfo","Returns a ProgressInfo struct containing steps done, total steps, and abort status."
"MCU_BD.h","GetProgramFilename","None","Retrieves the filename of the loaded program.","GetProgramFilename()","None","None","No parameters.","std::string","Returns a string with the loaded program filename."
"MCU_BD.h","RunProcedure","MCU_Parameter","Executes a procedure using the MCU.","RunProcedure(uint8_t id)","id","uint8_t","id: Procedure identifier.","void","No return value."
"MCU_BD.h","SetParameter","MCU_Parameter","Sets a parameter for the MCU.","SetParameter(MCU_Parameter param, float value)","param, value","MCU_Parameter, float","param: Enum for MCU parameter; value: parameter value.","void","No return value."
"MCU_BD.h","WaitForMCU","None","Waits for the MCU to complete its operation within the specified timeout.","WaitForMCU(uint32_t timeout_ms)","timeout_ms","uint32_t","timeout_ms: Timeout in milliseconds.","int","Returns status code; 0 for success, non-zero for failure."
"MCU_BD.h","MCUStatusMessage","None","Converts a status code into a human-readable message.","MCUStatusMessage(const uint8_t code)","code","const uint8_t","code: MCU status code.","const char*","Returns a string representing the status message."
"MCU_BD.h","SetDebugMode","OperationStatus","Enables or disables debug mode for the MCU.","SetDebugMode(bool enabled, IConnection::MCU_PROG_MODE mode)","enabled, mode","bool, IConnection::MCU_PROG_MODE","enabled: True for enabling debug mode; mode: Programming mode.","OperationStatus","Returns success/failure status of the operation."
"MCU_BD.h","readIRAM","m_IRAM","Reads data from the MCU's IRAM.","readIRAM(const uint8_t *addr, uint8_t* values, const uint8_t count)","addr, values, count","const uint8_t*, uint8_t*, const uint8_t","addr: Start address; values: Buffer for data; count: Number of bytes to read.","OperationStatus","Returns success/failure status of the operation."
"MCU_BD.h","writeIRAM","m_IRAM","Writes data to the MCU's IRAM.","writeIRAM(const uint8_t *addr, const uint8_t* values, const uint8_t count)","addr, values, count","const uint8_t*, const uint8_t*, const uint8_t","addr: Start address; values: Data to write; count: Number of bytes to write.","OperationStatus","Returns success/failure status of the operation."
"MCU_BD.h","mSPI_write","None","Writes data to an SPI register.","mSPI_write(unsigned short addr_reg, unsigned short data_reg)","addr_reg, data_reg","unsigned short, unsigned short","addr_reg: Address of the register; data_reg: Data to write.","void","No return value."
"MCU_BD.h","mSPI_read","None","Reads data from an SPI register.","mSPI_read(unsigned short addr_reg)","addr_reg","unsigned short","addr_reg: Address of the register.","unsigned short","Returns data read from the register."
"MCU_BD.h","Reset_MCU","None","Resets the MCU to its initial state.","Reset_MCU()","None","None","No parameters.","void","No return value."
"MCU_File.h","MCU_File","None","Constructor to initialize the MCU_File object with a file name and mode.","MCU_File(const char *fileName, const char *mode)","fileName, mode","const char*, const char*","fileName: Name of the file; mode: File access mode (e.g., ""r"" for read).","N/A","Not applicable (constructor)."
"MCU_File.h","~MCU_File","None","Destructor to clean up the file resources.","~MCU_File()","None","None","No parameters.","N/A","Not applicable (destructor)."
"MCU_File.h","FileOpened","None","Checks if the file has been successfully opened.","FileOpened()","None","None","No parameters.","bool","Returns true if the file is opened, otherwise false."
"MCU_File.h","ReadBin","None","Reads the binary data from the file up to the specified limit.","ReadBin(unsigned long limit)","limit","unsigned long","limit: Maximum number of bytes to read.","void","No return value."
"MCU_File.h","ReadHex","None","Reads the hexadecimal data from the file up to the specified limit.","ReadHex(unsigned long limit)","limit","unsigned long","limit: Maximum number of bytes to read.","void","No return value."
"MCU_File.h","GetByte","None","Retrieves a byte from a specified address in the file.","GetByte(const unsigned long address, unsigned char &chr)","address, chr","const unsigned long, unsigned char&","address: Target address; chr: Reference to store the retrieved byte.","bool","Returns true on success, false on failure."
"MCU_File.h","BitString","None","Generates a bit string representation of specified bits at an address.","BitString(const unsigned long address, const unsigned char bits, const bool lEndian, std::string &str)","address, bits, lEndian, str","const unsigned long, const unsigned char, const bool, std::string&","address: Address; bits: Bits to process; lEndian: Endianness flag; str: Output bit string.","bool","Returns true on success, false on failure."
"MCU_File.h","Handle","None","Provides access to the internal file handle.","Handle()","None","None","No parameters.","FILE*","Returns the internal file handle."
"MCU_File.h","m_chunks","std::vector<MemBlock>","Stores memory chunks read from the file.","Access via object (e.g., file.m_chunks)","None","None","No parameters.","std::vector<MemBlock>","Represents the memory chunks read from the file."
"MCU_File.h","m_top","size_t","Represents the top address of the file being processed.","Access via object (e.g., file.m_top)","None","None","No parameters.","size_t","Holds the size of the top address in the file."
"MCU_File.h","m_file","FILE*","Internal file pointer used for operations.","Access via object (e.g., file.m_file)","None","None","No parameters.","FILE*","Represents the file pointer for the opened file."
"Si5351C.h","Si5351C","None","Constructor to initialize the Si5351C object.","Si5351C()","None","None","No parameters.","N/A","Not applicable (constructor)."
"Si5351C.h","~Si5351C","None","Destructor to clean up the Si5351C resources.","~Si5351C()","None","None","No parameters.","N/A","Not applicable (destructor)."
"Si5351C.h","Initialize","None","Initializes the Si5351C instance with a connection manager.","Initialize(IConnection *mng)","mng","IConnection*","mng: Pointer to a connection manager instance.","void","No return value."
"Si5351C.h","LoadRegValuesFromFile","None","Loads register values from a specified file.","LoadRegValuesFromFile(std::string FName)","FName","std::string","FName: Name of the file to load register values from.","bool","Returns true on success, false otherwise."
"Si5351C.h","SetPLL","None","Configures a PLL with specified parameters.","SetPLL(unsigned char id, unsigned long CLKIN_Hz, int CLK_SRC)","id, CLKIN_Hz, CLK_SRC","unsigned char, unsigned long, int","id: PLL identifier; CLKIN_Hz: Input clock frequency; CLK_SRC: Clock source identifier.","void","No return value."
"Si5351C.h","SetClock","None","Configures a clock channel with the specified frequency and settings.","SetClock(unsigned char id, unsigned long fOut_Hz, bool enabled, bool inverted)","id, fOut_Hz, enabled, inverted","unsigned char, unsigned long, bool, bool","id: Clock identifier; fOut_Hz: Output frequency; enabled: Enable/disable; inverted: Invert signal.","void","No return value."
"Si5351C.h","UploadConfiguration","None","Uploads the current configuration to the Si5351C hardware.","UploadConfiguration()","None","None","No parameters.","Status","Returns Status::SUCCESS on success or Status::FAILED on failure."
"Si5351C.h","ConfigureClocks","None","Configures clock channels according to the current settings.","ConfigureClocks()","None","None","No parameters.","Status","Returns Status::SUCCESS on success or Status::FAILED on failure."
"Si5351C.h","Reset","None","Resets the Si5351C module.","Reset()","None","None","No parameters.","void","No return value."
"Si5351C.h","GetStatusBits","StatusBits","Retrieves the current status bits from the Si5351C.","GetStatusBits()","None","None","No parameters.","StatusBits","Returns a StatusBits struct containing system initialization and error flags."
"Si5351C.h","ClearStatus","None","Clears the status flags in the Si5351C.","ClearStatus()","None","None","No parameters.","Status","Returns Status::SUCCESS on success or Status::FAILED on failure."
"Si5351C.h","FindVCO","None","Finds the VCO frequency range for clock and PLL configurations (private).","FindVCO(Si5351_Channel *clocks, Si5351_PLL *plls, const unsigned long Fmin, const unsigned long Fmax)","clocks, plls, Fmin, Fmax","Si5351_Channel*, Si5351_PLL*, const unsigned long, const unsigned long","clocks: Pointer to channel array; plls: Pointer to PLL array; Fmin/Fmax: Frequency limits.","void","No return value."
"Si5351C.h","m_newConfiguration","unsigned char[]","Stores new configuration values to upload to the Si5351C hardware.","Access directly, e.g., m_newConfiguration[i]","index","unsigned char","index: Index of the configuration byte to access.","unsigned char","Returns the configuration byte at the specified index."
"Streamer.h","StreamChannel","None","Constructor to initialize a StreamChannel object.","StreamChannel(Streamer* streamer)","streamer","Streamer*","streamer: Pointer to a Streamer object.","N/A","Not applicable (constructor)."
"Streamer.h","~StreamChannel","None","Destructor to clean up StreamChannel resources.","~StreamChannel()","None","None","No parameters.","N/A","Not applicable (destructor)."
"Streamer.h","Setup","None","Sets up a stream channel with the given configuration.","Setup(StreamConfig conf)","conf","StreamConfig","conf: Configuration for the stream.","void","No return value."
"Streamer.h","Close","None","Closes the stream channel.","Close()","None","None","No parameters.","void","No return value."
"Streamer.h","Read","None","Reads samples from the stream channel.","Read(void* samples, const uint32_t count, Metadata* meta, const int32_t timeout_ms = 100)","samples, count, meta, timeout_ms","void*, uint32_t, Metadata*, int32_t","samples: Buffer to store samples; count: Number of samples to read; meta: Metadata pointer; timeout_ms: Timeout in milliseconds.","int","Returns the number of samples read or error code."
"Streamer.h","Write","None","Writes samples to the stream channel.","Write(const void* samples, const uint32_t count, const Metadata* meta, const int32_t timeout_ms = 100)","samples, count, meta, timeout_ms","const void*, uint32_t, Metadata*, int32_t","samples: Buffer containing samples to write; count: Number of samples to write; meta: Metadata pointer; timeout_ms: Timeout in milliseconds.","int","Returns the number of samples written or error code."
"Streamer.h","GetInfo","Info","Retrieves information about the stream channel.","GetInfo()","None","None","No parameters.","Info","Returns an Info structure containing stream channel details."
"Streamer.h","GetStreamSize","None","Gets the size of the stream.","GetStreamSize()","None","None","No parameters.","int","Returns the size of the stream in samples."
"Streamer.h","IsActive","None","Checks if the stream channel is active.","IsActive()","None","None","No parameters.","bool","Returns true if the stream channel is active, otherwise false."
"Streamer.h","Start","None","Starts the stream channel.","Start()","None","None","No parameters.","int","Returns 0 on success, error code otherwise."
"Streamer.h","Stop","None","Stops the stream channel.","Stop()","None","None","No parameters.","int","Returns 0 on success, error code otherwise."
"Streamer.h","Streamer","None","Constructor to initialize a Streamer object.","Streamer(FPGA* f, LMS7002M* chip, int id)","f, chip, id","FPGA*, LMS7002M*, int","f: FPGA object; chip: LMS7002M object; id: Streamer ID.","N/A","Not applicable (constructor)."
"Streamer.h","~Streamer","None","Destructor to clean up Streamer resources.","~Streamer()","None","None","No parameters.","N/A","Not applicable (destructor)."
"Streamer.h","SetupStream","None","Sets up a stream channel with a given configuration.","SetupStream(const StreamConfig& config)","config","const StreamConfig&","config: Configuration for the stream.","StreamChannel*","Returns a pointer to the configured StreamChannel object."
"Streamer.h","GetStreamSize","None","Gets the size of the stream for transmission or reception.","GetStreamSize(bool tx)","tx","bool","tx: Indicates if the size is for transmission (true) or reception (false).","int","Returns the stream size."
"Streamer.h","GetHardwareTimestamp","None","Retrieves the hardware timestamp.","GetHardwareTimestamp()","None","None","No parameters.","uint64_t","Returns the hardware timestamp."
"Streamer.h","SetHardwareTimestamp","None","Sets the hardware timestamp.","SetHardwareTimestamp(const uint64_t now)","now","const uint64_t","now: New hardware timestamp value.","void","No return value."
"Streamer.h","UpdateThreads","None","Updates the stream handling threads.","UpdateThreads(bool stopAll = false)","stopAll","bool","stopAll: Indicates if all threads should be stopped.","int","Returns 0 on success, error code otherwise."
"Streamer.h","ReceivePacketsLoop","None","Handles packet reception in a loop (private method).","ReceivePacketsLoop()","None","None","No parameters.","void","No return value."
"Streamer.h","TransmitPacketsLoop","None","Handles packet transmission in a loop (private method).","TransmitPacketsLoop()","None","None","No parameters.","void","No return value."
"Streamer.h","ResizeChannelBuffers","None","Resizes the internal channel buffers (private method).","ResizeChannelBuffers()","None","None","No parameters.","void","No return value."
"Streamer.h","StreamConfig","StreamDataFormat","Configuration structure for streams.","Access via StreamConfig object","isTx, channelID, align, bufferLength, format, linkFormat","bool, uint8_t, bool, size_t, StreamDataFormat, StreamDataFormat","isTx: Transmit flag; channelID: Channel ID; align: Data alignment; bufferLength: Buffer size; format: Data format; linkFormat: Wire format.","N/A","Not applicable (struct)."
"Streamer.h","StreamChannel::Info","StreamChannel::Metadata","Structures for stream channel metadata and info.","Access via StreamChannel object","None","None","No parameters.","N/A","Not applicable (struct)."
"SystemResources.h","getLimeSuiteRoot","None","Retrieves the library's installation root directory.","getLimeSuiteRoot()","None","None","No parameters.","std::string","Returns the library's installation root directory path."
"SystemResources.h","getHomeDirectory","None","Retrieves the user's home directory path.","getHomeDirectory()","None","None","No parameters.","std::string","Returns the full path to the user's home directory."
"SystemResources.h","getAppDataDirectory","None","Retrieves the application data directory path for the user.","getAppDataDirectory()","None","None","No parameters.","std::string","Returns the full path to the application's data directory."
"SystemResources.h","getConfigDirectory","None","Retrieves the library's configuration data directory path.","getConfigDirectory()","None","None","No parameters.","std::string","Returns the full path to the configuration data directory."
"SystemResources.h","listImageSearchPaths","None","Retrieves a prioritized list of directories for locating image resources.","listImageSearchPaths()","None","None","No parameters.","std::vector<std::string>","Returns a vector of directory paths for image searches."
"SystemResources.h","locateImageResource","None","Retrieves the full file path for a specific image resource if it exists.","locateImageResource(const std::string &name)","name","const std::string&","name: File name of the image resource, including its extension.","std::string","Returns the full path to the image resource or an empty string if not found."
"SystemResources.h","downloadImageResource","None","Downloads an image resource into the user's application data directory.","downloadImageResource(const std::string &name)","name","const std::string&","name: File name of the image resource to download, including its extension.","int","Returns 0 for success or an error code upon failure."
"VersionInfo.h","GetLibraryVersion",,"Get the library version in major.minor.patch.build-extra format","lime::GetLibraryVersion()","None","None","None","std::string","The library version as a string"
"VersionInfo.h","GetBuildTimestamp",,"Get the build date in ""%Y-%M-%d"" format","lime::GetBuildTimestamp()","None","None","None","std::string","The build date as a string"
"VersionInfo.h","GetAPIVersion",,"Get the API version in major.minor.increment format, based on LIME_SUITE_API_VERSION constant","lime::GetAPIVersion()","None","None","None","std::string","The API version as a string"
"VersionInfo.h","GetABIVersion",,"Get the ABI/so version of the library","lime::GetABIVersion()","None","None","None","std::string","The ABI/so version as a string"
